,Mixture,Mixture Count dens binary,Mixture Count actcoeff binary,Mixture Count sos binary,Mixture Count dielec binary,Mixture Count eme binary,Mixture Count emcp binary,Mixture Count emv binary
254,"1,2,4-trimethylbenzene__2-methoxyethanol",42.0,0.0,0.0,0.0,0.0,0.0,0.0
255,toluene__2-heptanol,42.0,0.0,42.0,0.0,0.0,0.0,0.0
256,toluene__1-octanol,42.0,0.0,0.0,0.0,0.0,0.0,0.0
257,toluene__2-octanol,42.0,0.0,42.0,0.0,0.0,0.0,0.0
258,toluene__1-heptanol,42.0,0.0,0.0,0.0,0.0,0.0,0.0
259,xyliton__water,40.0,0.0,0.0,0.0,0.0,0.0,0.0
260,benzene__heptane,40.0,0.0,18.0,0.0,0.0,0.0,0.0
261,"1,2-benzenediol__water",40.0,0.0,40.0,0.0,0.0,0.0,0.0
262,toluene__hexane,39.0,0.0,11.0,0.0,16.0,0.0,0.0
263,2-propanol__cyclopentane,39.0,0.0,39.0,0.0,0.0,0.0,0.0
264,ethanol__cyclopentane,39.0,0.0,39.0,0.0,0.0,0.0,0.0
265,toluene__tert-butyl ethyl ether,39.0,0.0,39.0,0.0,0.0,0.0,0.0
266,ethanol__hexane,39.0,0.0,39.0,0.0,17.0,0.0,23.0
267,"bis(2-hydroxyethyl) ether__ethanol, 2-propoxy-",39.0,0.0,0.0,39.0,0.0,0.0,0.0
268,"triethylene glycol__ethanol, 2-propoxy-",39.0,0.0,0.0,39.0,0.0,0.0,0.0
269,1-butanol__cyclopentane,39.0,0.0,39.0,0.0,11.0,0.0,0.0
270,cyclohexane__2-pentanol,39.0,0.0,0.0,0.0,0.0,0.0,0.0
271,ethylbenzene__tert-butyl ethyl ether,39.0,0.0,39.0,0.0,0.0,0.0,0.0
272,benzene__tert-butyl ethyl ether,39.0,0.0,39.0,0.0,0.0,0.0,0.0
273,ethylbenzene__cyclohexane,39.0,0.0,39.0,0.0,0.0,0.0,0.0
274,2-methyl-2-propanol__tert-butyl ethyl ether,39.0,0.0,39.0,0.0,0.0,0.0,0.0
275,"2,2,4-trimethylpentane__tert-butyl ethyl ether",39.0,0.0,39.0,0.0,0.0,0.0,0.0
276,cyclopentane__2-pentanol,39.0,0.0,39.0,0.0,0.0,0.0,0.0
277,2-methyl-2-butanol__tetrahydrofuran,39.0,0.0,0.0,0.0,0.0,0.0,39.0
278,cyclohexane__heptane,39.0,0.0,0.0,0.0,0.0,0.0,0.0
279,ethanol__tert-butyl ethyl ether,39.0,0.0,39.0,0.0,0.0,0.0,0.0
280,octane__heptane,37.0,0.0,0.0,0.0,0.0,0.0,0.0
281,benzene__tetrahydropyran,36.0,0.0,50.0,0.0,14.0,0.0,14.0
282,o-xylene__tetrahydropyran,36.0,0.0,36.0,0.0,0.0,0.0,0.0
283,methylcyclohexane__1-heptanol,36.0,0.0,12.0,0.0,0.0,0.0,0.0
284,toluene__tetrahydropyran,36.0,0.0,50.0,0.0,14.0,0.0,14.0
285,"1,2-dimethylbenzene__1,2-dimethoxyethane",36.0,0.0,0.0,0.0,0.0,0.0,0.0
286,benzene__nonane,35.0,0.0,13.0,0.0,0.0,0.0,0.0
287,ethylbenzene__heptane,34.0,0.0,12.0,0.0,0.0,0.0,0.0
288,"2,5,8-trioxanonane__heptane",34.0,0.0,0.0,33.0,0.0,0.0,0.0
289,"methoxybenzene__1,4-dioxane",33.0,0.0,0.0,0.0,0.0,0.0,0.0
